Course Name,Study area,Study type,Location,Entry Score,Prerequisites,Student type,Learning mode,Duration,Fees,Next intake,Course Page
Graduate Certificate in Business Information Technology,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Commerce,Business,PG,Melbourne City,Not applicable,,International,On campus,,,,
Graduate Certificate in Finance,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Human Resource Management,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in International Business,Business,PG,"Melbourne City, Online",,,International,On campus,,,,
Graduate Certificate in Marketing,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in People Analytics,Business,PG,Melbourne City,Not applicable,,International,On campus,,,,
Graduate Certificate in Professional Accounting,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Supply Chain and Logistics Management,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Project Management,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Advertising,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Analytics,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Business Administration,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Business Information Technology,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Commerce,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Cyber Security,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Data Science,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Management),Business,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Finance,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Human Resource Management,Business,PG,Melbourne City,,,International,On campus,,,,
Master of International Business,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Marketing,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Occupational Health and Safety,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Professional Accounting,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Project Management,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Statistics and Operations Research,Business,PG,Melbourne City,,,International,On campus,,,,
Master of Supply Chain and Logistics Management,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Marketing,Communication,PG,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Journalism,Communication,PG,Melbourne City,,,International,On campus,,,,
Master of Advertising,Communication,PG,Melbourne City,,,International,On campus,,,,
Master of Communication,Communication,PG,Melbourne City,,,International,On campus,,,,
Master of Design Futures,Communication,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Marketing,Communication,PG,Melbourne City,,,International,On campus,,,,
Master of Writing and Publishing,Communication,PG,Melbourne City,,,International,On campus,,,,
Master of Design (Media & Communication),Communication,Research,Melbourne City,,,International,On campus,,,,
"PhD (Economics, Finance & Marketing)",Communication,Research,Melbourne City,,,International,On campus,,,,
PhD (Media & Communication),Communication,Research,Melbourne City,,,International,On campus,,,,
"Graduate Certificate in Animation, Games and Interactivity",Design,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate of Design Innovation and Technology,Design,PG,Melbourne City,,,International,On campus,,,,
"Master of Animation, Games and Interactivity",Design,PG,Melbourne City,,,International,On campus,,,,
Master of Communication Design,Design,PG,Melbourne City,,,International,On campus,,,,
Master of Design Futures,Design,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Design Innovation and Technology,Design,PG,Melbourne City,,,International,On campus,,,,
Master of Interior Design,Design,PG,Melbourne City,,,International,On campus,,,,
Online Graduate Certificate in Digital Product Design,Design,PG,Online,,,International,Online,,,,
Online Graduate Certificate in User Experience Design,Design,PG,Online,,,International,Online,,,,
Online Graduate Diploma in Digital Product Design,Design,PG,Online,,,International,Online,,,,
Master of Design,Design,Research,Melbourne City,,,International,On campus,,,,
Master of Design (Media & Communication),Design,Research,Melbourne City,,,International,On campus,,,,
PhD (Design),Design,Research,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Careers Education and Development,Education,PG,"Melbourne City, Online",,,International,On campus,,,,
Graduate Diploma in Early Childhood Education,Education,PG,Bundoora,,,International,On campus,,,,
Master of Teaching Practice (Primary Education),Education,PG,Melbourne City,,,International,On campus,,,,
Master of Teaching Practice (Secondary Education),Education,PG,Melbourne City,,,International,On campus,,,,
Master of Education,Education,Research,Bundoora,,,International,On campus,,,,
PhD (Education),Education,Research,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Transport Safety Investigation,Engineering,PG,"Melbourne City, Online",,,International,On campus,,,,
Graduate Diploma in Transport Safety Investigation,Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Energy Efficient and Sustainable Building,Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Aerospace),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Civil Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Electrical Engineering),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Electrical and Electronic Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Electronic Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Environmental Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
